Channel_Label,Well_Label,Timestamp,Maximum_Amplitude,Minimum_Amplitude,Peak_to_peak_Amplitude
11,11,-0.14616,1.08720930232558e-05,-1.54651162790698e-05,2.63372093023256e-05
11,11,-0.02872,9.65116279069767e-06,-1.4593023255814e-05,2.42441860465116e-05
11,11,0.76752,1.25581395348837e-05,-1.29651162790698e-05,2.55232558139535e-05
11,11,0.78632,8.95348837209302e-06,-1.08139534883721e-05,1.97674418604651e-05
11,11,1.01496,1.05813953488372e-05,-1.31976744186047e-05,2.37790697674419e-05
11,11,2.77568,1.40697674418605e-05,-1.5406976744186e-05,2.94767441860465e-05
11,11,2.92408,1.01162790697674e-05,-1.51744186046512e-05,2.52906976744186e-05
11,11,3.43248,5.46511627906977e-06,-1e-05,1.54651162790698e-05
11,11,4.22344,1.27906976744186e-05,-1.32558139534884e-05,2.6046511627907e-05
11,11,4.2804,1.13372093023256e-05,-1.12790697674419e-05,2.26162790697674e-05
11,11,4.50712,9.7093023255814e-06,-1.18604651162791e-05,2.15697674418605e-05
11,11,4.53888,8.83720930232558e-06,-1.05813953488372e-05,1.94186046511628e-05
11,11,4.81224,1e-05,-1.47093023255814e-05,2.47093023255814e-05
11,11,5.0092,8.8953488372093e-06,-1.31395348837209e-05,2.20348837209302e-05
11,11,5.27624,9.18604651162791e-06,-1.47674418604651e-05,2.3953488372093e-05
11,11,5.486,1.1453488372093e-05,-1.40116279069767e-05,2.54651162790698e-05
11,11,5.88112,1.37790697674419e-05,-1.68023255813954e-05,3.05813953488372e-05
11,11,5.9764,9.12790697674419e-06,-1.21511627906977e-05,2.12790697674419e-05
11,11,6.23048,9.82558139534884e-06,-1.56395348837209e-05,2.54651162790698e-05
11,11,6.50424,1.06395348837209e-05,-1.28488372093023e-05,2.34883720930233e-05
11,11,6.68824,8.72093023255814e-06,-1.01744186046512e-05,1.88953488372093e-05
11,11,6.77448,1.21511627906977e-05,-1.53488372093023e-05,2.75e-05
11,11,6.9116,1.0406976744186e-05,-1.51162790697674e-05,2.55232558139535e-05
11,11,7.36296,1.26162790697674e-05,-1.61046511627907e-05,2.87209302325581e-05
11,11,8.53848,1.11046511627907e-05,-1.40116279069767e-05,2.51162790697674e-05
11,11,9.25592,1.42441860465116e-05,-1.52325581395349e-05,2.94767441860465e-05
