Well,cell_line
A1,WTC
A2,WTC_PH_1um
A3,WTC_PH_1um
A4,WTC_F_1um
A5,IPSI123
A6,IPSI123_PH_1um
A7,IPSI123_PH_1um
A8,IPSI123_F_1um
B1,WTC
B2,WTC_PH_1um
B3,WTC_PH_1um
B4,WTC_F_1um
B5,IPSI123
B6,IPSI123_PH_1um
B7,IPSI123_PH_1um
B8,IPSI123_F_1um
C1,KdVS164_NT
C2,KdVS164_PH_1um
C3,KdVS164_PH_1um
C4,KdVS164_F_1um
C5,KdVS1_NT
C6,KdVS1_PH_1um
C7,KdVS1_PH_1um
C8,KdVS1_F_1um
D1,KdVS164_NT
D2,KdVS164_PH_1um
D3,KdVS164_PH_1um
D4,KdVS164_F_1um
D5,KdVS1_NT
D6,KdVS1_PH_1um
D7,KdVS1_PH_1um
D8,KdVS1_F_1um
E1,KdVS2_NT
E2,KdVS2_PH_1um
E3,KdVS2_PH_1um
E4,KdVS2_F_1um
E5,KdVS3_NT
E6,KdVS3_PH_1um
E7,KdVS3_PH_1um
E8,KdVS3_F_1um
F1,KdVS2_NT
F2,KdVS2_PH_1um
F3,KdVS2_PH_1um
F4,KdVS2_F_1um
F5,KdVS3_NT
F6,KdVS3_PH_1um
F7,KdVS3_PH_1um
F8,KdVS3_F_1um
