"","Well_Label","Phenotype","Firing_rate_Hz","EB_Dur","EB_Dur_Std","Spikes_per_EB","Spikes_per_EB_Std","EB_ISI","EB_ISI_Std","IEBI","IEBI_Std","IEBI_CV","IEBI_CV_Std","EB_rate_Hz","EB_rate_Std","EB_prop","EB_prop_Std","NB_rate_Hz","NB_prop","NB_dur","NB_dur_Std","Firing_Rate_in_NB_Hz","Firing_Rate_in_NB_Std","INBI","INBI_Std","batch","cell_line_batch","machine","PT_all_path","DIV_range","Syndrome","Gene","Compound_short","Compound","Own_control","Color_general","Cell_line_general","Unique_ID","PT_all_path_Well_Label"
"1","A1","KdVS_CR_NT",0.225727272727273,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A1_1","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A1"
"2","A2","KdVS_CR_PH_10um",0.0958181818181818,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A2_2","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A2"
"3","A3","KdVS_CR_F_10um",0.041625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A3_3","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A3"
"4","A4","KdVS_CR_NT",0.277153846153846,0.00915384615384615,0.0330046616754011,0.384615384615385,1.38675049056307,0.0297400000000039,NA,NA,NA,NA,NA,0.000256410256410256,0.000924500327042049,0.105384615384615,0.379969634414282,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A4_4","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A4"
"5","A5","KdVS_CR_P_10um",0.401818181818182,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_P_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","P_10um","prednisone","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A5_5","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A5"
"6","A6","Mother_CNT",0.3045,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","Mother_CNT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","control","control","NT","NT","Mother_CNT","#555555","Mother_CNT","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A6_6","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_A6"
"7","B1","KdVS_CR_NT",0.143909090909091,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_NT100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","NT","NT","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B1_7","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B1"
"8","B2","KdVS_CR_PH_10um",0.204307692307692,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_PH_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","PH_10um","phloretin","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B2_8","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B2"
"9","B3","KdVS_CR_F_10um",0.0144285714285714,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B3_9","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B3"
"10","B4","KdVS_CR_F_10um",0.252285714285714,0.044,0.0776659513557904,1.51428571428571,2.59192886439718,0.0355169565217396,0.00771730192232604,37.3705,18.2765889733287,1.047,NA,0.00571428571428571,0.0124296964764774,3.39214285714286,7.1002875629224,0,0,NA,NA,NA,NA,NA,NA,"100-2016","KdVS_CR_F_10um100-2016","axion","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016","DIV14","KdVS","KANSL1","F_10um","fasudil","Mother_CNT","#DC143C","KdVS_CR","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B4_10","D:/2025/KdVS_paper/PT_all/Developmental/DIV14/Axion/100-2016_B4"
