samplename	settings	line	name	DIV	passage_number	cell_density	MEA	well_ID	mean_firing_rate_(hz)	mean_percentage_of_random_spikes	mean_burst_rate_(burst/min)	mean_burst_duration_(ms)	mean_burst_spike_rate_(hz)	mean_inter_burst_interval_(ms)	mean_NB_number	mean_NB_rate_(nb/min)	mean_NB_duration_(ms)	mean_NB_inter_burst_interval_(ms)	Coefficient_of_variation
pool1_WTC_2311_A2	50_700	C3	WTC	30	8	20000	2311	A2	2.18	28.89	2.22	901.92	52.14	24552.19	22.00	2.20	1234.53	26252.50	0.38
pool3_WTC_2311_B1	50_700	C3	WTC	30	8	20000	2311	B1	3.39	26.75	2.76	952.36	60.70	26893.12	29.00	2.90	1624.61	19125.28	0.15
pool4_WTC_2311_B2	50_700	C3	WTC	30	8	20000	2311	B2	2.90	36.11	2.52	762.10	45.00	30335.94	25.00	2.50	1439.86	19690.30	0.15
pool1_409B2_2311_C1	50_700	C2	409B2	30	19	20000	2311	C1	3.42	17.86	2.20	819.38	89.96	26992.76	19.00	1.90	1496.46	29726.11	0.04
pool3_409B2_2311_D2	50_700	C2	409B2	30	19	20000	2311	D2	2.32	30.32	1.83	736.03	78.01	32573.85	18.00	1.80	1127.73	32771.04	0.04
pool4_409B2_2311_D1	50_700	C2	409B2	30	19	20000	2311	D1	3.79	23.13	2.90	777.55	83.21	19340.15	23.00	2.30	1411.32	24154.69	0.05
pool1_77_2309_C1	50_700	C1	L77	30	17	25000	2309	C1	1.40	38.10	1.08	2709.93	22.57	29338.09	12.00	1.20	3816.47	47835.65	0.10
pool3_77_2309_D1	50_700	C1	L77	30	17	25000	2309	D1	3.18	14.66	1.58	2804.69	29.11	16467.65	12.00	1.20	4198.59	48164.64	0.08
pool4_77_2309_C2	50_700	C1	L77	30	17	25000	2309	C2	2.00	17.22	1.01	3851.00	32.38	11238.43	8.00	0.80	5200.51	65784.87	0.28
pool1_CRISPR_2309_B3	50_700	C1.CR	L77_CRISPR	30	23	25000	2309	B3	1.62	59.22	2.41	820.29	24.24	43215.33	15.00	1.50	1903.60	39904.53	1.67
pool3_CRISPR_2309_A4	50_700	C1.CR	L77_CRISPR	30	23	25000	2309	A4	2.04	55.57	3.55	1086.91	32.03	20576.24	20.00	2.00	1996.73	27864.44	0.41
pool4_CRISPR_2309_B4	50_700	C1.CR	L77_CRISPR	30	23	25000	2309	B4	1.45	66.29	1.27	1403.23	23.44	28031.23	4.00	0.40	3703.25	36117.27	0.10
pool1_71_2309_B5	50_700	P1	L71	30	12	25000	2309	B5	0.67	77.91	1.35	650.73	29.00	108063.51	5.00	0.50	1314.02	120954.10	0.17
pool3_71_2309_B6	50_700	P1	L71	30	12	25000	2309	B6	0.65	54.82	0.95	717.85	33.57	99036.18	4.00	0.40	1266.48	132529.33	0.24
pool4_71_2309_A5	50_700	P1	L71	30	12	25000	2309	A5	0.64	69.45	1.11	423.25	30.00	121522.34	4.00	0.40	1137.28	139538.83	0.64
pool3_76_2311_D5	50_700	P2	L76	30	39	25000	2311	D5	2.10	41.06	2.40	839.94	38.16	28306.89	15.00	1.50	1873.31	37415.31	0.13
pool3_76_2311_C4	50_700	P2	L76	30	39	25000	2311	C4	2.71	48.57	3.05	709.78	32.77	50308.79	15.00	1.50	3362.89	39248.05	0.16
pool1_70_2311_B4	50_700	P3	L70	30	40	25000	2311	B4	2.38	24.64	0.80	1691.78	78.54	56094.94	5.00	0.50	2584.56	87897.30	0.24
pool4_70_2311_A4	50_700	P3	L70	30	40	25000	2311	A4	3.99	32.59	1.94	1720.40	46.53	55037.31	5.00	0.50	4259.26	115061.30	1.26
pool4_70_2311_A5	50_700	P3	L70	30	40	25000	2311	A5	3.52	33.00	1.64	1248.86	62.68	48280.90	7.00	0.70	2956.76	79274.00	0.37
