,well ID,mean firing rate (hz),mean percentage of random spikes,mean burst rate (burst/min),mean burst duration (ms),mean burst spike rate (hz),mean inter burst interval (ms),mean NB number,mean NB rate (nb/min),mean NB duration (ms),mean NB inter burst interval (ms),DIV,Line
1,B1,0.02225,100,NA,NA,NA,NA,0,0,NA,NA,16,KdVS1
2,B2,0.035666667,99.58333333,NA,NA,NA,NA,0,0,NA,NA,16,KdVS1
3,B3,0.0135,100,NA,NA,NA,NA,0,0,NA,NA,16,KdVS1
4,A1,0.474833333,87.021,3.55,542.7755655,20.397,34134.69088,2,0.2,1121.7,20324.4,16,C1
5,A2,0.55025,91.85016667,2.95,533.6445328,14.9645,38856.46192,0,0,NA,NA,16,C1
6,A3,0.442,94.14875,1.25,347.5827068,17.79175,61671.1589,0,0,NA,NA,16,C1
7,B1,0.27475,72.93116667,0.55,652.5851191,24.2835,69431.96959,5,0.5,1186.36,80098.225,23,KdVS1
8,B2,0.14075,92.73891667,1.25,709.3825,24.524,81079.355,0,0,NA,NA,23,KdVS1
9,B3,0.452166667,90.45016667,1.08,484.5702984,21.3824,93171.20542,0,0,NA,NA,23,KdVS1
10,A1,2.099166667,67.71358333,3.683333333,915.8026668,38.46016667,26448.07703,43,4.3,1410.716279,12600.26429,23,C1
11,A2,1.89875,31.59125,2.981818182,779.4532085,33.42909091,23185.14631,25,2.5,1528.152,22339.925,23,C1
12,A3,1.145666667,51.67841667,2.4,656.1026282,22.742,38387.08964,21,2.1,1591.085714,27069.9,23,C1
13,B1,0.377333333,72.55125,0.575,488.2545834,43.257875,82133.60125,5,0.5,841.3,86327.75,30,KdVS1
14,B2,0.433333333,58.62808333,0.84,409.7369841,33.633,98292.80301,6,0.6,941.866667,102182.52,30,KdVS1
15,B3,0.408333333,78.76533333,0.572727273,254.5322727,34.95418182,138006.6623,5,0.5,485.54,122826.825,30,KdVS1
16,A1,3.483166667,60.38916667,7.45,884.1990738,37.55733333,9068.191697,53,5.3,1930.801887,9363.694231,30,C1
17,A2,4.081083333,21.84983333,3.608333333,861.9082383,60.4825,18837.28968,24,2.4,1997.054167,22909.80435,30,C1
18,A3,3.858,22.63075,5.441666667,722.8455374,53.83541667,28441.83317,25,2.5,2051.708,21705.525,30,C1
19,B1,0.419666667,53.79983333,0.7,427.5881349,61.72522222,88720.50532,7,0.7,639.7,89677.68333,37,KdVS1
20,B2,1.140833333,35.86591667,2.708333333,394.3304245,46.86541667,42868.18949,8,0.8,1158.15,61788.54286,37,KdVS1
21,B3,0.809583333,84.25516667,2.1375,362.4385644,28.185375,117655.5029,2,0.2,1003.85,297462.1,37,KdVS1
22,A1,0.413916667,88.73575,1.26,445.5699428,21.0772,135336.805,0,0,NA,NA,37,C1
23,A2,5.866166667,23.19158333,5.508333333,823.546121,64.19008333,13598.66155,30,3,2461.673333,17601.50345,37,C1
24,A3,4.94725,12.87083333,5.091666667,671.8724568,81.24658333,14183.76912,27,2.7,1489.951852,20416.47308,37,C1
25,B1,0.944166667,32.9,1.227272727,450.2220281,69.79181818,57750.70519,12,1.2,739.233333,47970,44,KdVS1
26,B2,2.17675,23.02825,3.35,473.4858153,72.76708333,32698.04414,12,1.2,1352.825,49965.43636,44,KdVS1
27,B3,0.373583333,93.82266667,0.616666667,247.8993982,29.54083333,108628.3093,2,0.2,439.55,135418.3,44,KdVS1
28,A1,1.96275,69.02408333,7.485714286,646.0015733,19.58671429,12994.9714,65,6.5,1285.88,7982.725,44,C1
29,A2,7.123333333,18.315,6.283333333,839.7544568,64.46591667,11834.73914,48,4.8,2365.866667,10107.67447,44,C1
30,A3,7.828916667,19.14366667,6.95,729.2443966,81.52216667,11266.67213,46,4.6,2127.895652,11030.39333,44,C1
31,B1,1.667083333,25.76566667,2.527272727,467.4892745,79.417,34504.40981,14,1.4,693.978571,42390.90769,51,KdVS1
32,B2,2.708416667,28.89783333,3.833333333,492.1628103,66.82966667,27977.32984,13,1.3,1627.030769,43857.19167,51,KdVS1
33,B3,0.092166667,99.69258333,0.2,144.35,25.259,531629.6,0,0,NA,NA,51,KdVS1
34,A1,0.955666667,67.6305,5.2,415.5335494,22.46442857,12288.96762,51,5.1,880.17451,10924.564,51,C1
35,A2,6.317,31.12791667,8.541666667,714.8520611,54.9835,13606.16337,66,6.6,2544.637879,6505.004615,51,C1
36,A3,6.126833333,23.11466667,5.683333333,631.0764801,82.08175,13208.39257,28,2.8,1833.075,19452.95556,51,C1
37,B1,1.58225,18.27391667,2.145454545,403.9728902,105.8514545,27390.78332,21,2.1,678.77619,27614.98,58,KdVS1
38,B2,3.09575,20.31291667,2.866666667,575.7443129,98.14408333,25219.75883,18,1.8,1029.761111,29807.95882,58,KdVS1
39,B3,0.1095,94.4555,0.733333333,541.352976,15.138,113144.504,0,0,NA,NA,58,KdVS1
40,A1,2.294583333,45.33133333,6.418181818,495.502805,28.32118182,24899.4821,79,7.9,1079.005063,6507.585897,58,C1
41,A2,7.13725,22.05633333,5.525,749.4433108,79.80008333,13068.66756,40,4,2176.3075,12546.98974,58,C1
42,A3,6.620666667,20.247,6.891666667,641.1633115,80.11675,12014.54566,43,4.3,1654.85814,12114.67857,58,C1
43,B1,2.091583333,12.13825,2.95,353.3212513,104.73125,18917.36194,29,2.9,623.693103,18726.33571,65,KdVS1
44,B2,5.509666667,12.8525,3.875,682.3027926,113.2238333,14270.33389,33,3.3,1030.00303,17686.77188,65,KdVS1
45,B3,0.034416667,100,NA,NA,NA,NA,0,0,NA,NA,65,KdVS1
46,A1,1.0155,69.92066667,5.942857143,286.7381047,31.89371429,14731.71265,60,6,642.328333,9261.133898,65,C1
47,A2,10.48158333,13.20983333,7.858333333,851.9217296,77.04966667,8278.618961,63,6.3,2102.536508,7356.987097,65,C1
48,A3,9.212,20.44483333,8.216666667,870.9429818,74.21208333,9733.541569,62,6.2,2685.670968,7105.1,65,C1
49,B1,2.501416667,13.33,3.308333333,491.748098,103.527,17429.32411,32,3.2,1217.1375,17010.00645,72,KdVS1
50,B2,6.3645,13.03633333,3.025,1295.977441,77.63308333,10812.53009,25,2.5,1824.148,22284.62083,72,KdVS1
51,B3,0.0285,97.53333333,0.7,442.685714,12.462,76428.21667,0,0,NA,NA,72,KdVS1
52,A1,1.984833333,64.43825,9.157142857,303.2383801,40.96957143,8822.044485,125,12.5,649.3832,4114.976613,72,C1
53,A2,10.19575,15.81916667,8.791666667,861.1966479,59.81541667,7306.15132,76,7.6,2697.402632,5168.104,72,C1
54,A3,10.988,15.68691667,9.741666667,1198.019423,61.14783333,7228.417917,83,8.3,3805.479518,3336.759756,72,C1
