,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
0,MELK,trt_sh.cgs,1.514,0.991,1.514,10,8,2,14,
1,BRD-K73888531,trt_cp,1.499,1.095,1.499,10,9,1,17,
2,BRD-K42644990,trt_cp,1.443,-0.808,1.443,10,6,4,17,
3,BRD-A09164687,trt_cp,1.44,0.734,1.44,11,9,2,17,
4,desoxycortone,trt_cp,1.44,0.908,1.44,13,10,3,23,Mineralocorticoid receptor agonist
5,ATGGGAA,trt_sh.css,1.436,1.066,1.436,11,10,1,12,
6,BRD-K53331454,trt_cp,1.435,0.672,1.435,10,8,2,17,
7,docosatrienoic-acid,trt_cp,1.417,-0.278,1.417,11,7,4,19,LTB4 inhibitor
8,BRD-K09460252,trt_cp,1.411,1.184,1.411,10,9,1,17,
9,SLC22A4,trt_sh,1.4,0.847,1.4,18,15,3,27,
10,BRD-K62169556,trt_cp,1.397,0.74,1.397,11,8,3,17,
11,SIX2,trt_sh,1.396,0.801,1.396,14,10,4,26,
12,ITSN1,trt_sh,1.395,1.1,1.395,12,11,1,27,
13,BRD-K33164466,trt_cp,1.393,1.101,1.393,11,10,1,17,
14,BRD-K66224104,trt_cp,1.372,1.116,1.372,13,11,2,17,
15,ML-4054,trt_cp,1.371,-0.236,1.371,11,7,4,17,
16,GR-55562,trt_cp,1.366,0.644,1.366,10,7,3,19,Serotonin receptor antagonist
17,BRD-K30381384,trt_cp,1.364,-0.708,1.364,10,6,4,15,
18,BCL6B,trt_sh,1.362,0.946,1.362,14,11,3,24,
19,gossypin,trt_cp,1.361,1.204,1.361,13,10,3,20,Dual specificity protein kinase inhibitor
20,BRD-K74931283,trt_cp,1.361,-0.8,1.361,10,5,5,17,
21,CELSR2,trt_sh,1.359,0.628,1.359,12,9,3,27,
22,ZNF436,trt_sh,1.355,0.775,1.355,15,12,3,27,
23,BRD-K84677391,trt_cp,1.351,0.839,1.351,11,9,2,17,
24,immethridine,trt_cp,1.341,0.957,1.341,13,10,3,23,Histamine receptor agonist
25,SR-33805,trt_cp,1.34,1.116,1.34,20,18,2,42,calcium channel blocker
26,MLL3,trt_sh,1.338,0.755,1.338,22,18,4,32,
27,PEBP1,trt_sh,1.337,0.996,1.337,17,15,2,27,
28,FGFR2,trt_lig,1.334,-0.573,1.334,11,6,5,19,
29,carbinoxamine,trt_cp,1.333,-0.083,1.333,21,14,7,34,Histamine receptor antagonist|L-type calcium channel blocker
30,BRD-K06476055,trt_cp,1.332,0.716,1.332,11,9,2,17,
31,betamethasone,trt_cp,1.329,-0.697,1.329,22,13,9,42,Glucocorticoid receptor agonist
32,SA-1473468,trt_cp,1.325,-0.943,1.325,13,6,7,18,
33,MIF,trt_sh,1.324,0.827,1.324,13,10,3,24,
34,Broad-Sai-370,trt_cp,1.323,0.829,1.323,10,8,2,22,
35,LY-2090314,trt_cp,1.323,1.001,1.323,18,16,2,42,
36,MYNN,trt_sh,1.322,0.824,1.322,16,12,4,27,
37,CD1C,trt_sh,1.322,0.853,1.322,10,8,2,12,
38,BRD-A30083233,trt_cp,1.321,1.209,1.321,10,9,1,17,
39,BMP2,trt_sh,1.321,1.026,1.321,26,23,3,35,
40,BRD-K69422440,trt_cp,1.314,-0.714,1.314,10,5,5,12,
41,SLC38A3,trt_sh,1.313,1.004,1.313,15,11,4,27,
42,ZSWIM2,trt_sh,1.313,0.857,1.313,18,15,3,27,
43,Ro-19-4605,trt_cp,1.312,0.811,1.312,15,11,4,19,GABA benzodiazepine site receptor inverse agonist
44,balsalazide,trt_cp,1.311,0.968,1.311,35,29,6,54,Cyclooxygenase inhibitor
45,pomalidomide,trt_cp,1.31,0.92,1.31,22,18,4,42,"angiogenesis inhibitor, tumor necrosis factor production inhibitor"
46,SLC29A2,trt_sh,1.306,0.757,1.306,12,10,2,33,
47,androstenedione,trt_cp,1.304,0.09,1.304,12,8,4,24,Cytochrome P450 inhibitor
48,PHF19,trt_sh,1.304,0.692,1.304,14,10,4,24,
49,PLA2G2A,trt_sh,1.303,1.128,1.303,20,19,1,27,
50,MRGPRX4,trt_sh,1.303,0.961,1.303,16,16,0,27,
51,sotrastaurin,trt_cp,1.299,0.679,1.299,20,14,6,57,PKC inhibitor
52,BRD-K95080859,trt_cp,1.29,-0.951,1.29,12,6,6,17,
53,PIK3C3,trt_sh,1.285,0.922,1.285,25,22,3,37,
54,KLF4,trt_sh,1.284,0.842,1.284,19,14,5,24,
55,KCTD5,trt_sh,1.284,0.996,1.284,21,16,5,36,
56,QW-BI-011,trt_cp,1.283,0.98,1.283,13,9,4,17,Histone lysine methyltransferase inhibitor
57,ESYT1,trt_sh,1.282,1.09,1.282,21,19,2,27,
58,BRD-K42541148,trt_cp,1.282,1.086,1.282,10,8,2,18,
59,IL12B,trt_sh,1.281,0.218,1.281,12,8,4,27,
60,BRD-A60386802,trt_cp,1.28,0.737,1.28,11,9,2,17,
61,TAAR1,trt_sh,1.278,0.806,1.278,12,10,2,27,
62,isoxicam,trt_cp,1.278,0.208,1.278,12,8,4,26,Cyclooxygenase inhibitor
63,treprostinil,trt_cp,1.276,0.834,1.276,12,9,3,17,Prostacyclin analog
64,BRD-K62768020,trt_cp,1.275,0.977,1.275,14,14,0,17,
65,CALCOCO2,trt_sh,1.272,-0.468,1.272,14,9,5,22,
66,PTPN12,trt_sh.cgs,1.271,1.195,1.271,10,9,1,14,
67,BRD-K51608872,trt_cp,1.271,-0.645,1.271,13,7,6,32,
68,NFATC2,trt_sh,1.269,0.469,1.269,13,9,4,27,
