,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
0,UBTF,trt_sh,1.505,0.959,1.505,11,9,2,27,
1,NFRKB,trt_sh,1.394,1.006,1.394,19,17,2,24,
2,ZFP161,trt_sh,1.358,0.606,1.358,23,16,7,36,
3,CELSR2,trt_sh,1.351,-0.556,1.351,12,6,6,27,
4,LCMT1,trt_sh,1.337,0.951,1.337,13,11,2,27,
5,Ro-19-4605,trt_cp,1.335,0.857,1.335,10,8,2,19,GABA benzodiazepine site receptor inverse agonist
6,ADORA2A,trt_sh,1.331,-1.054,1.331,14,8,6,27,
7,ANP32E,trt_sh,1.325,0.813,1.325,11,10,1,24,
8,ANKRD37,trt_sh,1.318,0.915,1.318,13,11,2,25,
9,betamethasone,trt_cp,1.315,-0.251,1.315,17,11,6,42,Glucocorticoid receptor agonist
10,SRGAP2,trt_sh,1.315,0.842,1.315,11,10,1,27,
11,bretazenil,trt_cp,1.309,0.61,1.309,20,14,6,42,GABA benzodiazepine site receptor partial agonist
12,PRPF4,trt_sh,1.309,0.834,1.309,21,17,4,42,
13,CP,trt_sh,1.306,0.67,1.306,11,9,2,27,
14,BRD-K82206012,trt_cp,1.303,0.952,1.303,11,9,2,24,
15,ZNF444,trt_sh,1.299,-0.756,1.299,10,6,4,24,
16,ADCY3,trt_sh,1.297,0.513,1.297,13,9,4,36,
17,RBBP7,trt_sh,1.296,0.799,1.296,15,11,4,27,
18,SA-1447005,trt_cp,1.293,0.974,1.293,11,9,2,29,
19,PTS,trt_sh,1.293,0.2,1.293,21,14,7,27,
20,BRD-K62169556,trt_cp,1.293,0.937,1.293,10,8,2,17,
21,COASY,trt_sh.cgs,1.292,1.055,1.292,10,8,2,13,
22,MCL1,trt_sh,1.29,-0.682,1.29,13,8,5,32,
23,PROKR2,trt_sh,1.284,1.072,1.284,13,10,3,26,
24,SERPINB5,trt_sh,1.282,1.098,1.282,15,14,1,27,
25,BRD-K76357752,trt_cp,1.282,0.768,1.282,10,9,1,24,
26,GPR141,trt_sh,1.281,0.816,1.281,10,7,3,27,
27,OR52B2,trt_sh,1.277,1.026,1.277,14,14,0,24,
28,ITGA1,trt_sh,1.277,0.935,1.277,10,10,0,27,
29,TARBP2,trt_sh,1.274,0.944,1.274,14,12,2,27,
30,MDM4,trt_sh,1.271,0.75,1.271,13,10,3,24,
31,amfepramone,trt_cp,1.268,-0.843,1.268,23,14,9,45,Adrenergic receptor agonist
32,crotamiton,trt_cp,1.265,0.917,1.265,10,7,3,34,Antipruritic
