,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
0,CT-200783,trt_cp,1.501,1.023,1.501,28,28,0,59,
1,MD-II-038,trt_cp,1.473,1.168,1.473,10,10,0,17,
2,ME1,trt_sh,1.436,1.144,1.436,12,11,1,24,
3,CDC42,trt_sh,1.431,0.669,1.431,19,14,5,49,
4,ZNF433,trt_sh,1.411,1.097,1.411,12,12,0,27,
5,aminoguanidine,trt_cp,1.401,0.895,1.401,17,13,4,42,nitric oxide synthase inhibitor
6,PASD1,trt_sh,1.395,-0.787,1.395,14,8,6,36,
7,CNOT7,trt_sh,1.392,1.047,1.392,11,10,1,24,
8,BRPF3,trt_sh,1.38,0.761,1.38,11,9,2,27,
9,CTGF,trt_sh,1.373,-0.296,1.373,11,7,4,24,
10,dorsomorphin,trt_cp,1.369,0.944,1.369,28,24,4,81,AMPK inhibitor
11,tolperisone,trt_cp,1.36,-0.891,1.36,18,8,10,42,voltage-gated sodium channel blocker
12,EPHB4,trt_sh,1.341,0.532,1.341,16,11,5,71,
13,MCSF,trt_lig,1.339,0.792,1.339,27,20,7,88,
14,IGFBP2,trt_sh,1.331,0.84,1.331,13,12,1,30,
15,ARF4,trt_sh,1.325,1.178,1.325,14,14,0,27,
16,PD-407824,trt_cp,1.324,0.609,1.324,10,7,3,27,PKC inhibitor
17,METTL1,trt_sh,1.324,0.859,1.324,13,11,2,33,
18,ZNF677,trt_sh,1.324,0.87,1.324,10,8,2,27,
19,KLF6,trt_oe,1.324,1.018,1.324,11,10,1,17,
20,HNMT,trt_oe,1.322,0.632,1.322,10,7,3,16,
21,ARHGAP35,trt_sh,1.321,0.998,1.321,12,12,0,24,
22,GUSB,trt_sh,1.317,0.898,1.317,12,9,3,24,
23,ramelteon,trt_cp,1.317,0.809,1.317,15,12,3,42,melatonin receptor agonist
24,RAB21,trt_sh,1.314,1.007,1.314,20,14,6,43,
25,mepacrine,trt_cp,1.311,0.908,1.311,57,45,12,153,NFkB pathway inhibitor|Cytokine production inhibitor|TP53 activator
26,CAMKK2,trt_sh,1.31,0.893,1.31,11,9,2,33,
27,VGLL4,trt_sh,1.307,0.642,1.307,10,7,3,42,
28,ZBTB46,trt_sh,1.306,0.931,1.306,13,11,2,30,
29,pitavastatin,trt_cp,1.3,1.072,1.3,25,19,6,55,HMGCR inhibitor
30,FZD7,trt_sh,1.298,0.979,1.298,11,10,1,27,
31,CS,trt_sh,1.294,-0.738,1.294,11,6,5,22,
32,ATGCCTT,trt_sh.css,1.293,0.964,1.293,10,10,0,12,
33,WDR6,trt_sh,1.29,0.823,1.29,13,12,1,33,
34,TCTA,trt_sh,1.29,-0.807,1.29,10,6,4,42,
35,pimecrolimus,trt_cp,1.289,0.982,1.289,18,15,3,42,calcineurin inhibitor
36,PFN2,trt_sh,1.287,0.962,1.287,10,9,1,27,
37,OAZ2,trt_sh,1.287,1.05,1.287,11,9,2,27,
38,GNB1,trt_sh,1.283,1.074,1.283,11,10,1,27,
39,10H-phenothiazin-10-yl)(p-tolyl)methanone,trt_cp,1.282,-0.708,1.282,10,5,5,15,Butyrylcholinesterase inhibitor
40,HSPA9,trt_sh,1.28,0.729,1.28,11,9,2,27,
41,NSC-3852,trt_cp,1.28,1.084,1.28,10,10,0,24,HDAC inhibitor
42,PLD4,trt_sh,1.28,1.048,1.28,10,10,0,24,
43,CSNK1G2,trt_sh,1.279,0.54,1.279,16,11,5,44,
44,avagacestat,trt_cp,1.277,0.93,1.277,16,12,4,42,gamma secretase inhibitor
45,NDUFS8,trt_sh,1.272,1.061,1.272,11,11,0,24,
46,A-443644,trt_cp,1.272,0.781,1.272,16,11,5,59,AKT inhibitor
47,GYG1,trt_sh,1.269,0.903,1.269,10,9,1,24,
48,ZNF689,trt_sh,1.269,0.664,1.269,10,8,2,24,
49,novobiocin,trt_cp,1.269,0.215,1.269,21,14,7,46,Bacterial DNA gyrase inhibitor
50,NDUFB5,trt_sh,1.268,1.049,1.268,16,13,3,27,
51,BRD-A06276885,trt_cp,1.267,0.965,1.267,10,7,3,19,
52,RIT1,trt_sh,1.267,-0.999,1.267,11,6,5,24,
53,PSMD5,trt_sh,1.266,0.874,1.266,13,10,3,36,
54,JNJ-16259685,trt_cp,1.266,0.59,1.266,10,7,3,25,Glutamate receptor antagonist
55,SU-11652,trt_cp,1.261,0.84,1.261,28,22,6,82,Tyrosine kinase inhibitor
56,betamethasone,trt_cp,1.261,-0.828,1.261,13,7,6,42,Glucocorticoid receptor agonist
57,SNRPD1,trt_sh,1.261,0.56,1.261,16,11,5,36,
58,TFRC,trt_sh,1.259,-0.708,1.259,13,7,6,33,
59,NRG1,trt_sh,1.257,0.968,1.257,12,12,0,30,
60,LRRC40,trt_sh,1.255,0.243,1.255,12,8,4,39,
61,GABBR2,trt_sh,1.254,1.093,1.254,11,10,1,27,
62,RFX4,trt_sh,1.252,0.269,1.252,12,8,4,27,
63,AHR,trt_sh,1.251,1.078,1.251,13,10,3,24,
64,N6022,trt_cp,1.251,0.891,1.251,15,12,3,42,alcohol dehydrogenase inhibitor
65,NDUFA13,trt_sh,1.249,0.704,1.249,10,7,3,24,
66,GW-441756,trt_cp,1.247,0.9,1.247,12,9,3,37,Growth factor receptor inhibitor
67,mycophenolate-mofetil,trt_cp,1.246,0.727,1.246,23,18,5,61,Inosine monophosphate dehydrogenase inhibitor|Hydroxycarboxylic acid receptor agonist|Immunosuppressant|Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
68,TRIP10,trt_sh,1.246,1.079,1.246,15,14,1,36,
69,POP4,trt_sh,1.242,0.796,1.242,20,16,4,38,
70,TAGAP,trt_sh,1.242,0.75,1.242,11,8,3,38,
71,HLA-DRA,trt_sh,1.24,-0.831,1.24,10,5,5,24,
72,ellipticine,trt_cp,1.239,1.177,1.239,10,10,0,30,Topoisomerase inhibitor
73,PIK3CG,trt_sh,1.237,0.794,1.237,13,12,1,37,
74,HSF2,trt_oe,1.236,0.981,1.236,10,9,1,26,
75,aminosalicylic-acid,trt_cp,1.236,0.813,1.236,22,18,4,46,Cyclooxygenase inhibitor
76,ZIC2,trt_sh,1.233,-0.739,1.233,11,6,5,27,
77,ANPEP,trt_sh,1.233,0.722,1.233,11,8,3,24,
78,IQGAP1,trt_sh,1.231,0.742,1.231,27,19,8,72,
79,pindolol,trt_cp,1.23,0.892,1.23,23,16,7,68,Adrenergic receptor antagonist
80,CTPS,trt_sh,1.23,0.466,1.23,10,8,2,24,
81,pritelivir,trt_cp,1.228,-0.808,1.228,15,9,6,42,helicase primase inhibitor
82,GPR153,trt_sh,1.228,0.581,1.228,13,9,4,27,
83,TMEM109,trt_sh,1.227,0.743,1.227,17,12,5,39,
